;Игрушки для малышей ;;
пп;арт младенец;;
;104213;;
;104619;;
1;936933;;
2;585001;;
3;091250;;
4;252748;;
5;377281;;
6; 517590;;
7;6015814;;
8;20146;;
9;027558;;
10;027121;;
11;106248;;
12;106521;;
13;349054;;
14;349160;;
15;349252;;
16;;;
17;;;
18;51573;;
19;714894;;
20;714368;;
21;229155;;
22;001578;;
23;001585;;
24;1468X;;
25;W3150_FP;;
26;6940V;;
27;281199;;
28;500905;;
29;590340;;
30;6997VFisher;;
31;317607;;
32;377663;;
33;209575;;
34;281205;;
35;086012;;
36;638998;;
37;756016;;
38;16077;;
39;16022;;
40;014868;;
41;010624;;
42;055779;;
43;056684;;
44; 055830;;
45;039960;;
46;010631;;
47;700369;;
48;039339;;
49;054451;;
50;349016;;
51;349146;;
52;348989;;
53;349238;;
54;349078;;
55;349214;;
56;349115;;
57;349269;;
58;349184;;
59;349207;;
60;349108;;
61;349221;;
62;011286;;
63;011385;;
64;20974;;
65;348618;;
66;080919;;
67;088214;;
68;078017;;
69;147921;;
70;104442;;
71;104602;;
72;086324;;
73;106550;;
74;378943;;
75;095529;;
76;086300;;
77;88083;;
78;11545;;
79;11625;;
80;610014;;
81;3610922;;
82;007712;;
83;TL_370;;
84;263tinylove;;
85;TL_369 ;;
86;994339;;
87;71346;;
88;610533;;
89;3102066;;
90;104459;;
91;010354;;
92;113080;;
93;692605;;
94; 010712;;
95;010705;;
96;008535;;
97;085213;;
98;994339;;
99;10915;;
100;115153;;
;Игрушки для девочек;;
пп;арт младенец;;
1;44086;;
2;066033;;
3;289843;;
4;290474;;
5;290344;;
6;232603;;
7; 232559;;
8;19015;;
9;307821;;
10;307838;;
11;19015;;
12;250025;;
13;1160010;;
14;00020;;
15;1270016;;
16;85014;;
17;167691;;
18;5120010;;
19;995213;;
20; 5297411;;
21;0079793;;
22;050634;;
23; 213244;;
24;5374341;;
25;444294;;
26;444287;;
27;444300;;
28;444256;;
29;445864;;
30;562119;;
31;479420;;
32;381566;;
33;087033;;
34;087019;;
35;167707;;
36;4890013;;
37;4930016;;
38;385755;;
39;284053;;
40;272975;;
41;214234;;
42;329365;;
43;126926;;
44;186210;;
45;374334;;
46;250025;;
47;1270016;;
48;302382;;
49;005339;;
50;241471;;
;Игрушки для мальчиков;;
пп;арт младенец;;
1;801316;;
2;801279;;
3;801804;;
4;801323;;
5;635115;;
6;638123;;
7;635214;;
8;049204;;
9;040003;;
10;39991;;
11;49198;;
12;;;
13;;;
14; 622830;;
15;911654;;
16;912224;;
17;912231;;
18;912248;;
19;912217;;
20;230602;;
21;83185;;
22;181444;;
23;4895136008008;;
24;007506;;
25;001889;;
26;5001896;;
27;940111;;
28;950110;;
29;635115;;
30;000776;;
;Игровой транспорт;;
1;714863;;
2;334142;;
3;445192;;
4;442931;;
5;442962;;
6;006462;;
7;334081;;
8;83160;;
9;60952-000;;
10;541204;;
11;83163;;
12;83193;;
13;68639BDot;;
14;543130;;
15;542270;;
16;3314283;;
17;"004315dt
";;
18;4542249;;
19;334081;;
20;442979;;
;Конструкторы;;
1;008503;;
2;005120;;
3;006769;;
4;292985;;
5;304008;;
6;293005;;
7;007469;;
8;008558;;
9;007964;;
10;004260;;
11;3155Abrick;;
12;050120;;
13;004352;;
14;005106;;
15;679667;;
;Настольные и напольные игры, пазлы;;
1;362909;;
2;362893;;
3;362886;;
4;362879;;
5;362862;;
6;362855;;
7;362848;;
8; 348095;;
9;298945;;
10;222094;;
11;074891;;
12;003638;;
13;ВВ0518;;
14;305496;;
15;305908/305915;;
16;007650;;
17;004017;;
18;004000;;
19;007643;;
20;008633;;
21;453025;;
22;453322;;
;Наборы для творчества;;
1;376203;;
2;376272;;
3;376197;;
4;413931;;
5;280487;;
6;280760;;
7;019359;;
8;0029273;;
9;412347;;
10;376173;;
11;412309;;
12;024695;;
13;024827;;
14;413948;;
15;415815;;
16;412647;;
17;412453;;
18;412647;;
19;412637;;
20;412255;;
21;412088;;
22;412170;;
23;28063_Smoby;;
24;413917;;
25;412095;;
26;412019;;
27;405564;;
28;636785;;
29;033002;;
30;024780;;
;Книги;;
1;711930;;
2;711923;;
3;434860;;
4;003336;;
5;009765;;
6;011089;;
7;003343;;
8;027073;;
9;027080;;
10;056189;;
11;046616;;
12;229131;;
13;229148;;
14;440351;;
15;754792;;
16;754785;;
17;979585;;
18;724269;;
19;704220;;
20;500365;;
